,id,lat,long
12544,949,40.577866708720954,-73.94446379542146
12545,949,40.577960401001306,-73.94365177877798
12546,267,40.71004466398221,-73.9685221820639
12547,790,40.7433889864388,-73.84790390462727
12548,804,40.74361512912392,-73.84714809424891
12549,762,40.832552555557854,-73.88399682152904
12550,762,40.83229940006149,-73.88398231167908
12551,1057,40.58746451029781,-73.7975848742937
12552,1057,40.587177171173344,-73.79898201453433
12553,1057,40.58689510010606,-73.80013818489714
12554,1055,40.74684792973435,-73.95644076190943
12555,567,40.586909045219336,-73.8007362743985
12556,567,40.58682491299661,-73.80045416315892
12557,956,40.586909045219336,-73.8007362743985
12558,538,40.660350624041484,-73.86715354556134
12559,538,40.65945229762283,-73.86652515008686
12560,538,40.66036674080391,-73.86705005521314
12561,538,40.65950530121085,-73.8663971826833
12562,180,40.713427978872325,-73.98193227865873
12563,180,40.71345423176686,-73.98171183517441
12564,207,40.6961395483263,-73.97833197590462
12565,207,40.69607463643,-73.977198028523
12566,50,40.636546008852115,-74.02865776746687
12567,50,40.63623927343113,-74.02878300545197
12568,645,40.81005075712261,-73.92781549749172
12569,356,40.7407331124959,-73.9817615081133
12570,356,40.74008533047958,-73.9802313261897
12571,407,40.75652915981056,-73.94720489468085
12572,407,40.75654107922031,-73.94719184458798
12573,642,40.815330540307045,-73.93061686858168
12574,642,40.81640968610338,-73.93022428711073
12575,737,40.81859470543058,-73.90002347428903
12576,737,40.81847000483117,-73.89981831966684
12577,58,40.6463701892259,-74.00183596298297
12578,58,40.646112576261864,-74.00209951974408
12579,36,40.62436676871597,-74.08032336929084
12580,36,40.62409153814603,-74.08118744951037
12581,1058,40.57223697089554,-74.08597647460202
12582,39,40.62146081746597,-74.07174165592005
12583,39,40.62093170061606,-74.07134330109555
12584,220,40.65614261486993,-73.97729675252248
12585,220,40.655863724966345,-73.97760548991062
12586,118,40.65747886840306,-73.97951266437374
12587,118,40.65722689049315,-73.97977326449204
12588,975,40.74282367437814,-73.78063298055629
12589,975,40.742735257290896,-73.78053059934622
12590,178,40.67632966713856,-73.92549183978481
12591,178,40.67631601063701,-73.92524443282703
12592,143,40.67478354644455,-73.9258568855908
12593,143,40.674757865536286,-73.92539298112342
12594,487,40.67399598350127,-73.9278408524075
12595,487,40.67389190974289,-73.92594699496611
12596,143,40.67579390508989,-73.94437627634586
12597,143,40.67578294197979,-73.9441749738929
12598,145,40.6765727242694,-73.94430332212451
12599,145,40.67643722267564,-73.94175674128682
12600,426,40.76843158164727,-73.96154785605428
12601,426,40.76815253592776,-73.96089930136289
12602,421,40.76906440765153,-73.96110997011142
12603,421,40.768783898523964,-73.96042890740108
12604,751,40.73560422678922,-73.775154378233
12605,751,40.7357181993655,-73.7747646983195
12606,595,40.762791755905525,-73.9339075646355
12607,595,40.762387147426445,-73.93304039801504
12608,595,40.76222687627298,-73.93269690899302
12609,595,40.76201610900198,-73.93224736030918
12610,866,40.73916841107836,-73.76361225535935
12611,866,40.73826170829067,-73.76316816494547
12612,347,40.77301984450154,-73.95218621929436
12613,347,40.77352690378594,-73.95181761652378
12614,595,40.757802824071206,-73.92325796541256
12615,595,40.757601882660566,-73.92283071808913
12616,616,40.76244910434329,-73.91948388318073
12617,616,40.762222212492574,-73.91900374171355
12618,1059,40.776928376070195,-73.9435130451467
12619,735,40.77240943741091,-73.8959330114929
12620,735,40.77226564445748,-73.89573022209815
12621,385,40.781195342798085,-73.97974787648243
12622,385,40.78152025189928,-73.97951321745965
12623,384,40.77999735722283,-73.97690314233164
12624,384,40.78032864949377,-73.97666324476094
12625,219,40.591872348953835,-73.92405553019228
12626,219,40.591495369011184,-73.92363677297577
12627,451,40.791569539575356,-73.9446760191183
12628,451,40.79115475369129,-73.94369232580546
12629,451,40.790626230975754,-73.9424345924488
12630,451,40.79043871120954,-73.94199375585609
12631,451,40.79019716594502,-73.94142153589988
12632,1026,40.790466236520665,-73.97173042743854
12633,1026,40.79080928977436,-73.97254399983152
12634,1060,40.829050507707755,-73.88524928384496
12635,1060,40.83046959250709,-73.88508302828104
12636,213,40.65671078396619,-73.95647813108556
